index,name,category,repo,source_file,url,local_path,bytes,description
1,honghaier_chinese_novel_dataset,小说、文学作品,honghaier/chinese-novel-dataset,dataset.json,https://huggingface.co/datasets/honghaier/chinese-novel-dataset/resolve/main/dataset.json,dataset2/data/01_honghaier_chinese_novel_dataset/dataset.json,65982465,中文小说 JSON 数据集
2,jinjun123_new_chinese_novel_111,小说、文学作品,jinjun123/new-chinese-novel-111,dataset.json,https://huggingface.co/datasets/jinjun123/new-chinese-novel-111/resolve/main/dataset.json,dataset2/data/02_jinjun123_new_chinese_novel_111/dataset.json,5784238,中文小说 JSON 数据集
3,v3ucn_chinese_novel_dataset,小说、文学作品,v3ucn/chinese-novel-dataset,dataset.json,https://huggingface.co/datasets/v3ucn/chinese-novel-dataset/resolve/main/dataset.json,dataset2/data/03_v3ucn_chinese_novel_dataset/dataset.json,1994719,中文小说 JSON 数据集
4,yungui_chinese_skinsuit_novel_dataset,小说、文学作品,yungui/chinese-skinsuit-novel-dataset,dataset.json,https://huggingface.co/datasets/yungui/chinese-skinsuit-novel-dataset/resolve/main/dataset.json,dataset2/data/04_yungui_chinese_skinsuit_novel_dataset/dataset.json,6463554,中文小说 JSON 数据集
5,fzmnm_tinybooks_qa_chinese,小说、文学作品/概念说明,fzmnm/TinyBooks-QA-Chinese,tinybooks_qa.jsonl,https://huggingface.co/datasets/fzmnm/TinyBooks-QA-Chinese/resolve/main/tinybooks_qa.jsonl,dataset2/data/05_fzmnm_tinybooks_qa_chinese/tinybooks_qa.jsonl,34218122,TinyBooks 中文问答 JSONL 数据集
6,whalning_chinese_medical_qa,生活常识,whalning/Chinese-medical-QA,dataset.json,https://huggingface.co/datasets/whalning/Chinese-medical-QA/resolve/main/dataset.json,dataset2/data/06_whalning_chinese_medical_qa/dataset.json,60729513,中文医学健康问答 JSON 数据集
7,sdbhud1b_chinese_qa_yuanwu,生活常识/概念说明,sdbhud1b/Chinese_qa,yuanwu.json,https://huggingface.co/datasets/sdbhud1b/Chinese_qa/resolve/main/yuanwu.json,dataset2/data/07_sdbhud1b_chinese_qa_yuanwu/yuanwu.json,34980511,中文问答 JSON 数据集
8,zhongshengwang_chinese_wikimatrix_alpaca,文献/概念说明,ZhongshengWang/Chinese-WikiMatrix-Alpaca,train.json,https://huggingface.co/datasets/ZhongshengWang/Chinese-WikiMatrix-Alpaca/resolve/main/train.json,dataset2/data/08_zhongshengwang_chinese_wikimatrix_alpaca/train.json,266077626,中文 WikiMatrix Alpaca JSON 数据集
9,dkqkxx_chinese_instruction_translate_zh,生活常识/概念说明,dkqkxx/chinese_instruction_sample,translate_zh.json,https://huggingface.co/datasets/dkqkxx/chinese_instruction_sample/resolve/main/translate_zh.json,dataset2/data/09_dkqkxx_chinese_instruction_translate_zh/translate_zh.json,29156913,中文指令翻译样例 JSON 数据集
10,dkqkxx_chinese_instruction_alpaca_gpt4_zh,生活常识/概念说明,dkqkxx/chinese_instruction_sample,alpaca_gpt4_data_zh.json,https://huggingface.co/datasets/dkqkxx/chinese_instruction_sample/resolve/main/alpaca_gpt4_data_zh.json,dataset2/data/10_dkqkxx_chinese_instruction_alpaca_gpt4_zh/alpaca_gpt4_data_zh.json,35344650,Alpaca GPT-4 中文指令 JSON 数据集
11,wdndev_webnovel_chinese_0,小说、文学作品,wdndev/webnovel-chinese,data/webnovel_0.jsonl,https://hf-mirror.com/datasets/wdndev/webnovel-chinese/resolve/main/data/webnovel_0.jsonl,dataset2/data/11_wdndev_webnovel_chinese_0/webnovel_0.jsonl,4183415364,中文网文 JSONL 分片 0
12,fjcanyue_wikipedia_zh_cn_20260501,文献/概念说明/词典/逻辑/数学/情感,fjcanyue/wikipedia-zh-cn,wikipedia-zh-cn-20260501.json,https://hf-mirror.com/datasets/fjcanyue/wikipedia-zh-cn/resolve/main/wikipedia-zh-cn-20260501.json,dataset2/data/12_fjcanyue_wikipedia_zh_cn_20260501/wikipedia-zh-cn-20260501.json,2393692848,中文维基百科 JSON 语料 20260501
